--- Listing Sanity Components ---
Group: Glass | Name: Frosted-Plastic | ID: 1a5b731b-9124-40a9-9f9b-1cc16734301a
Group: Cap | Name: Shiny Black Cap | ID: 334sSgiLA3lXfAfRyI3feG
Group: Cap | Name: Black-Dots | ID: 7e30b400-d63f-486f-917b-b0d218e64f2c
Group: Cap | Name: White Cap | ID: 893b431b-1667-4e50-a1b9-c3c2387cd2c5
Group: Cap | Name: Shiny Silver Cap | ID: LLJX6GvEQ64MSrJ9ET26pT
Group: Cap | Name: Silver Dot Cap | ID: LLJX6GvEQ64MSrJ9ET28yN
Group: Cap | Name: Matte Silver Cap | ID: WQR2zF44xY0MyeoxpYdEQY
Group: Cap | Name: White Cap | ID: WQR2zF44xY0MyeoxpYdGkG
Group: Cap | Name: Pink Dot Cap | ID: WQR2zF44xY0MyeoxpYdSg6
Group: Cap | Name: Copper Matte Cap | ID: WQR2zF44xY0MyeoxpYdVFm
Group: Cap | Name: Shiney Gold | ID: ad537f5a-c8ef-454b-a27d-b22a392b52b9
Group: Cap | Name: Pink Dots  | ID: aeef325a-a630-4459-b3a9-087d3b0ccac7
Group: Cap | Name: White-Cap | ID: b96a4767-41c9-4461-84ca-d9d5a71c47dc
Group: Cap | Name: Black Cap | ID: b9978fc8-c5d4-44ac-87a0-49d6ee962b2e
Group: Cap | Name: shiny black spray. Fine mist spray | ID: cap-gbcylblu5spryblksh
Group: Cap | Name: shiny black spray. Fine mist spray | ID: cap-gbroyal13spryblksh
Group: Cap | Name: shiny black spray. Fine mist spray | ID: cap-gbsqr15spryblksh
Group: Cap | Name: Matte Gold | ID: df241685-0e6d-4855-ab61-3a5a04a54f5d
Group: Cap | Name: null | ID: drafts.14f5e5f2-9970-4cec-87a2-bdbc9d7b9bff
Group: Cap | Name: Shiny Black Cap | ID: drafts.334sSgiLA3lXfAfRyI3feG
Group: Cap | Name: Silver Dot Cap | ID: drafts.LLJX6GvEQ64MSrJ9ET28yN
Group: Cap | Name: Pink Dot Cap | ID: drafts.WQR2zF44xY0MyeoxpYdSg6
Group: Cap | Name: Copper Matte Cap | ID: drafts.WQR2zF44xY0MyeoxpYdVFm
Group: Cap | Name: Black Dots | ID: e32ef4f1-24ba-4595-ae7e-e37427da4812

--- Fitment Variants ---
Group: Fitment | Name: Plastic Fitment | ID: 2a63d81d-5920-4afe-a70e-f5b757d4c948
Group: Fitment | Name: Metal Roller | ID: 334sSgiLA3lXfAfRyorYTM
Group: Fitment | Name: Metal Roller | ID: 7600a22a-5cb2-48d8-93f4-03d7d12bfbd3
Group: Fitment | Name: Plastic Roller | ID: LLJX6GvEQ64MSrJ9EfzrVg
Group: Fitment | Name: Metal Roller | ID: drafts.334sSgiLA3lXfAfRyorYTM
Group: Fitment | Name: Plastic Roller | ID: drafts.LLJX6GvEQ64MSrJ9EfzrVg
Group: Fitment | Name: Metal-fitment | ID: drafts.e1f158f2-4e4f-458b-926b-5c014d3da8ee
Group: Fitment | Name: shiny black spray. Fine mist spray | ID: fitment-gbcylblu5spryblksh
Group: Fitment | Name: shiny black spray. Fine mist spray | ID: fitment-gbroyal13spryblksh
Group: Fitment | Name: shiny black spray. Fine mist spray | ID: fitment-gbsqr15spryblksh
